"INIT-DEG-SD","1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,
"OUT-RANGE","4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,,"4",,,,,,,
"RADIUS-SIGNAL","5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,,"5",,,,,,,
"BETA","0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,,"0.95",,,,,,,
"GAMMA","0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,,"0.05",,,,,,,
"D","0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,,"0.15",,,,,,,
"RHO","0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,,"0.01",,,,,,,
"KAPPA-E","0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,,"0.6",,,,,,,
"REPEAT-K","10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,,"10",,,,,,,
"BASELINE?","false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,
"LOCALIZED-STIM?","false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,
"PLOT?","false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,
"LOG-CSV?","false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,,"false",,,,,,,
"[total steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[final value]","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E","[step]","report-FR","report-active-fraction","report-fano","report-spike-CV","report-mean-w","report-sd-w","report-mean-E"
,"1000","0.022893333333333335","1","1.5614941222651464","0.709266292312107","0.01261595388010003","0.04056020650726294","1.6096498928052696","1000","0.02102","1","1.5173848030061459","0.7119048752735567","0.010243794747392843","0.03752919660165952","1.5729643626824137","1000","0.0263","1","1.5097798718954105","0.648680134946059","0.009110179738959182","0.03372631104525318","1.9584671541826388","1000","0.02108","0.30666666666666664","1.3683834546063744","0.6570134739281581","0.007933720131743378","0.02906595782859934","1.7631274011851101","1000","0.02702","1","1.4512990739187615","0.6321287443448302","0.008529224317099108","0.03194402497926323","2.1743868214766575","1000","0.020446666666666665","0.34","1.3585876610007057","0.6503633578225537","0.009281757251051086","0.03482808950942366","1.5454786340610376","1000","0.02832","0.96","1.7849062085375442","0.6749560340619809","0.01935579978827243","0.056876761589840924","2.2847334730862654","1000","0.022006666666666667","0.7666666666666667","1.4268357528288824","0.701194155399288","0.005538019190144933","0.02432091356031775","1.2559025809059086","1000","0.030653333333333335","1","1.4065204258959172","0.5715260221002557","0.01095937672110389","0.03380300864808418","2.144000968163095","1000","0.028406666666666667","1","1.6521673838633382","0.6533885801398684","0.013117823820463502","0.04161610262459277","2.0678552905597742","1000","0.02504","1","1.2093427707408282","0.5746660442929973","0.009914333876936975","0.034346306211614414","1.6543427341284727","1000","0.026713333333333332","1","1.669571902425545","0.6706540936794099","0.015554728145435766","0.04552714781453345","1.984080789404244","1000","0.02714","0.8133333333333334","1.4693648311681922","0.6401174667297767","0.011047704911487852","0.0350702577195956","1.6179626255987898","1000","0.029626666666666666","1","1.3262027931832674","0.5668068952369887","0.010603636194233558","0.03904872361490617","2.1020947752539225","1000","0.027733333333333332","1","1.207853533608493","0.561721662503344","0.012743268936021863","0.040029538566278174","2.0401699932274098","1000","0.029586666666666667","1","1.4539772614535984","0.585454940518129","0.018068288931415516","0.052017042494753106","1.7646982423332107","1000","0.025933333333333333","1","1.379950084217516","0.6203353725246779","0.009841380782109645","0.03399642066849657","1.5706668807579418","1000","0.02836","1","1.4678357221800356","0.6102115398231521","0.013890078849561947","0.044295851630212386","2.132213720158782","1000","0.033486666666666665","1","1.8604947373157406","0.6337674752772405","0.01838201378917328","0.060764730296740045","2.7118907692851697","1000","0.0266","0.7133333333333334","1.723839323555723","0.6708864257299058","0.017921214999946703","0.04937816006917626","1.9227340632049454"
